Quantity,LineItemID,TransactionID,SKU,TaxCodeID,OriginalUnitPrice,DiscountAmount,
1,20,1000002,9381,$2.,$67.7,$0 ,
1,105,1000014,9381,$2.,$68.99,$0 ,
1,302,1000043,9381,$2.,$67.91,$0 ,
1,411,1000061,9381,$2.,$68.03,$0 ,
1,779,1000134,9381,$2.,$67.26,$0 ,
1,787,1000135,9381,$2.,$67.34,$0 ,
1,821,1000142,9381,$2.,$69.48,$0 ,
1,859,1000149,9381,$2.,$68.49,$0 ,
1,891,1000155,9381,$2.,$69.36,$0 ,
1,1069,1000182,9381,$2.,$68.05,$0 ,
1,1430,1000241,9381,$2.,$67.43,$0 ,
1,1548,1000265,9381,$2.,$67.54,$0 ,
1,1783,1000299,9381,$2.,$67.33,$0 ,
1,1830,1000308,9381,$2.,$67.65,$0 ,
1,1843,1000310,9381,$2.,$68.93,$0 ,
1,1869,1000317,9381,$2.,$69.27,$0 ,
1,2014,1000343,9381,$2.,$68.27,$0 ,
1,2122,1000357,9381,$2.,$69.27,$0 ,
1,2285,1000384,9381,$2.,$69.42,$0 ,
1,2437,1000411,9381,$2.,$69.42,$0 ,
1,2470,1000416,9381,$2.,$68.54,$0 ,
1,2606,1000441,9381,$2.,$69.47,$0 ,
1,2895,1000484,9381,$2.,$68.44,$0 ,
1,3142,1000523,9381,$2.,$67.75,$0 ,
1,3157,1000525,9381,$2.,$69.36,$0 ,
1,3210,1000532,9381,$2.,$69.19,$0 ,
1,3258,1000541,9381,$2.,$67.3,$0 ,
1,3548,1000593,9381,$2.,$67.21,$0 ,
1,3746,1000624,9381,$2.,$68.97,$0 ,
1,3924,1000652,9381,$2.,$68.64,$0 ,
1,3998,1000663,9381,$2.,$69.5,$0 ,
1,4390,1000721,9381,$2.,$67.69,$0 ,
1,4402,1000723,9381,$2.,$69.45,$0 ,
1,4564,1000751,9381,$2.,$69.23,$0 ,
1,4652,1000764,9381,$2.,$67.51,$0 ,
1,4668,1000769,9381,$2.,$68.05,$0 ,
1,4763,1000784,9381,$2.,$69.,$0 ,
1,4964,1000811,9381,$2.,$67.9,$0 ,
1,4992,1000817,9381,$2.,$69.08,$0 ,
1,5235,1000850,9381,$2.,$69.21,$0 ,
1,5366,1000869,9381,$2.,$68.81,$0 ,
1,5470,1000891,9381,$2.,$68.95,$0 ,
1,5688,1000920,9381,$2.,$68.92,$0 ,
1,5709,1000926,9381,$2.,$67.36,$0 ,
1,5772,1000936,9381,$2.,$69.28,$0 ,
1,5931,1000961,9381,$2.,$68.73,$0 ,
1,6043,1000977,9381,$2.,$68.98,$0 ,
1,6160,1000997,9381,$2.,$68.61,$0 ,
1,6378,1001029,9381,$2.,$68.58,$0 ,
1,6401,1001032,9381,$2.,$67.96,$0 ,
1,6493,1001043,9381,$2.,$68.27,$0 ,
1,6744,1001083,9381,$2.,$67.35,$0 ,
1,6763,1001085,9381,$2.,$67.28,$0 ,
1,6892,1001112,9381,$2.,$68.4,$0 ,
1,7137,1001150,9381,$2.,$67.7,$0 ,
1,7238,1001171,9381,$2.,$68.51,$0 ,
1,7319,1001180,9381,$2.,$68.26,$0 ,
1,7364,1001190,9381,$2.,$67.23,$0 ,
1,7390,1001193,9381,$2.,$69.29,$0 ,
1,7911,1001273,9381,$2.,$68.36,$0 ,
1,8188,1001317,9381,$2.,$68.2,$0 ,
1,8658,1001387,9381,$2.,$68.54,$0 ,
1,8740,1001398,9381,$2.,$68.28,$0 ,
1,9614,1001530,9381,$2.,$67.3,$0 ,
1,9659,1001539,9381,$2.,$68.16,$0 ,
1,9720,1001550,9381,$2.,$67.52,$0 ,
1,9909,1001579,9381,$2.,$68.57,$0 ,
1,9936,1001581,9381,$2.,$68.08,$0 ,
1,10023,1001600,9381,$2.,$67.95,$0 ,
1,10096,1001613,9381,$2.,$67.12,$0 ,
1,10358,1001648,9381,$2.,$68.1,$0 ,
1,10443,1001661,9381,$2.,$69.58,$0 ,
1,10481,1001669,9381,$2.,$67.98,$0 ,
1,10544,1001679,9381,$2.,$67.99,$0 ,
1,10656,1001698,9381,$2.,$68.5,$0 ,
1,10842,1001727,9381,$2.,$67.37,$0 ,
1,11372,1001809,9381,$2.,$67.45,$0 ,
1,11486,1001823,9381,$2.,$68.31,$0 ,
1,11569,1001835,9381,$2.,$67.18,$0 ,
1,11777,1001867,9381,$2.,$69.24,$0 ,
1,12078,1001913,9381,$2.,$67.88,$0 ,
1,12595,1002000,9381,$2.,$68.98,$0 ,
1,12663,1002017,9381,$2.,$69.47,$0 ,
1,12731,1002025,9381,$2.,$68.86,$0 ,
1,12780,1002036,9381,$2.,$68.63,$0 ,
1,12800,1002038,9381,$2.,$67.75,$0 ,
1,13046,1002081,9381,$2.,$69.46,$0 ,
1,13093,1002088,9381,$2.,$68.82,$0 ,
1,13600,1002189,9381,$2.,$68.59,$0 ,
1,13652,1002197,9381,$2.,$67.92,$0 ,
1,13777,1002214,9381,$2.,$67.79,$0 ,
1,13899,1002236,9381,$2.,$67.45,$0 ,
1,13930,1002241,9381,$2.,$68.41,$0 ,
1,14231,1002290,9381,$2.,$67.95,$0 ,
1,14265,1002295,9381,$2.,$69.54,$0 ,
1,14294,1002299,9381,$2.,$68.65,$0 ,
1,14356,1002305,9381,$2.,$67.35,$0 ,
1,14364,1002306,9381,$2.,$67.37,$0 ,
1,14373,1002307,9381,$2.,$67.78,$0 ,
1,14430,1002318,9381,$2.,$69.29,$0 ,
1,14485,1002328,9381,$2.,$68.95,$0 ,
1,14605,1002346,9381,$2.,$67.59,$0 ,
1,15210,1002438,9381,$2.,$67.19,$0 ,
1,15290,1002451,9381,$2.,$68.52,$0 ,
1,15368,1002464,9381,$2.,$68.54,$0 ,
1,15422,1002473,9381,$2.,$67.22,$0 ,
1,15647,1002509,9381,$2.,$69.02,$0 ,
1,15768,1002528,9381,$2.,$68.95,$0 ,
1,15776,1002529,9381,$2.,$68.29,$0 ,
1,16059,1002573,9381,$2.,$68.85,$0 ,
1,16097,1002580,9381,$2.,$67.19,$0 ,
1,16427,1002629,9381,$2.,$68.17,$0 ,
1,16499,1002640,9381,$2.,$67.42,$0 ,
1,16725,1002679,9381,$2.,$68.62,$0 ,
1,16900,1002712,9381,$2.,$69.,$0 ,
1,17080,1002740,9381,$2.,$67.57,$0 ,
1,17142,1002751,9381,$2.,$68.79,$0 ,
1,17401,1002787,9381,$2.,$68.,$0 ,
1,17413,1002789,9381,$2.,$68.46,$0 ,
1,17454,1002798,9381,$2.,$67.96,$0 ,
1,17752,1002844,9381,$2.,$68.39,$0 ,
1,18234,1002922,9381,$2.,$69.17,$0 ,
1,18250,1002924,9381,$2.,$68.56,$0 ,
1,18517,1002965,9381,$2.,$67.44,$0 ,
1,18670,1002987,9381,$2.,$68.86,$0 ,
1,18737,1002997,9381,$2.,$67.51,$0 ,
1,18826,1003012,9381,$2.,$67.46,$0 ,
1,18833,1003015,9381,$2.,$67.88,$0 ,
1,18913,1003027,9381,$2.,$68.62,$0 ,
1,19016,1003044,9381,$2.,$68.98,$0 ,
1,19384,1003110,9381,$2.,$69.24,$0 ,
1,19406,1003113,9381,$2.,$68.95,$0 ,
1,19652,1003149,9381,$2.,$68.69,$0 ,
1,19774,1003168,9381,$2.,$69.35,$0 ,
1,19845,1003180,9381,$2.,$68.26,$0 ,
1,19967,1003199,9381,$2.,$68.1,$0 ,
1,20221,1003247,9381,$2.,$69.22,$0 ,
1,20319,1003267,9381,$2.,$68.64,$0 ,
1,20413,1003285,9381,$2.,$67.47,$0 ,
1,20435,1003288,9381,$2.,$68.19,$0 ,
1,20833,1003353,9381,$2.,$68.67,$0 ,
1,21037,1003385,9381,$2.,$67.26,$0 ,
1,21045,1003388,9381,$2.,$67.79,$0 ,
1,21251,1003422,9381,$2.,$69.28,$0 ,
1,21412,1003448,9381,$2.,$68.04,$0 ,
1,21694,1003492,9381,$2.,$68.83,$0 ,
1,21697,1003493,9381,$2.,$68.02,$0 ,
1,21880,1003523,9381,$2.,$67.12,$0 ,
1,22019,1003544,9381,$2.,$68.17,$0 ,
1,22115,1003557,9381,$2.,$69.5,$0 ,
1,22145,1003563,9381,$2.,$68.76,$0 ,
1,22155,1003564,9381,$2.,$68.51,$0 ,
1,22166,1003566,9381,$2.,$67.19,$0 ,
1,22299,1003584,9381,$2.,$67.65,$0 ,
1,22541,1003624,9381,$2.,$68.01,$0 ,
1,22573,1003629,9381,$2.,$68.7,$0 ,
1,23184,1003724,9381,$2.,$67.92,$0 ,
1,23340,1003748,9381,$2.,$68.1,$0 ,
1,23372,1003752,9381,$2.,$67.27,$0 ,
1,23627,1003790,9381,$2.,$67.94,$0 ,
1,23654,1003796,9381,$2.,$68.85,$0 ,
1,23717,1003807,9381,$2.,$68.82,$0 ,
1,23727,1003809,9381,$2.,$69.35,$0 ,
1,23940,1003852,9381,$2.,$67.29,$0 ,
1,23966,1003856,9381,$2.,$67.31,$0 ,
1,24213,1003896,9381,$2.,$68.02,$0 ,
1,24363,1003925,9381,$2.,$68.92,$0 ,
1,24505,1003950,9381,$2.,$67.2,$0 ,
1,24556,1003954,9381,$2.,$67.45,$0 ,
1,24749,1003988,9381,$2.,$67.47,$0 ,
1,24757,1003990,9381,$2.,$67.29,$0 ,
1,24940,1004021,9381,$2.,$69.01,$0 ,
1,24957,1004023,9381,$2.,$69.25,$0 ,
1,24991,1004028,9381,$2.,$67.6,$0 ,
1,25026,1004033,9381,$2.,$68.6,$0 ,
1,25059,1004038,9381,$2.,$69.48,$0 ,
1,25457,1004104,9381,$2.,$69.21,$0 ,
1,25476,1004109,9381,$2.,$67.66,$0 ,
1,25511,1004114,9381,$2.,$69.34,$0 ,
1,25548,1004120,9381,$2.,$68.95,$0 ,
